Communes,code_ofs,district_electoral,liste_eag_2022,statut_comparaison,bulletins_2022,voix_eag_2022,part_eag_2022,bulletins_2026,voix_raboud_2026,part_raboud_2026,diff_part,ratio_part,voix_raboud_base_2022,diff_voix,effet_participation,effet_performance,dim1,particip_moy
Le Mont-sur-Lausanne,5587,Romanel,TRUE,progression,1559,36,0.023091725465041693,2791,168,0.060193479039770695,0.037101753574729,2.6067120506389587,93.84163382300251,132,74.15836617699749,57.84163382300251,1.24420950192838,0.5165911258989968
Romanel-sur-Lausanne,5592,Romanel,TRUE,progression,646,12,0.018575851393188854,1180,73,0.06186440677966102,0.043288555386472166,3.3303672316384185,39.96440677966102,61,33.03559322033898,27.96440677966102,1.4139420631242305,0.4933832513368591
Belmont-sur-Lausanne,5581,Lavaux-Oron,TRUE,progression,754,2,0.002652519893899204,1297,61,0.047031611410948346,0.04437909151704914,17.73091750192753,35.46183500385505,59,25.538164996144953,33.46183500385505,0.6035288296952113,0.5778055347536499
Bourg-en-Lavaux,5613,Lavaux-Oron,TRUE,progression,1419,3,0.0021141649048625794,2280,99,0.04342105263157895,0.04130688772671637,20.53815789473684,61.61447368421053,96,37.38552631578948,58.61447368421052,1.790688236334649,0.5978875369060419
Chexbres,5601,Lavaux-Oron,TRUE,progression,506,2,0.003952569169960474,743,64,0.08613728129205922,0.08218471212209874,21.792732166890985,43.585464333781964,62,20.414535666218036,41.585464333781964,1.806049813940045,0.5233204554470356
Forel (Lavaux),5604,Lavaux-Oron,TRUE,progression,468,2,0.004273504273504274,778,42,0.05398457583547558,0.049711071561971305,12.632390745501285,25.26478149100257,40,16.73521850899743,23.26478149100257,-1.135796974054282,0.5762616452540075
Jorat-Mézières,5806,Lavaux-Oron,TRUE,progression,606,2,0.0033003300330033004,1133,65,0.05736981465136805,0.05406948461836475,17.383053839364518,34.766107678729036,63,30.23389232127096,32.766107678729036,0.48200540711282697,0.543210385091142
Lutry,5606,Lavaux-Oron,TRUE,progression,2440,8,0.003278688524590164,3657,161,0.0440251572327044,0.040746468708114235,13.427672955974842,107.42138364779873,153,53.57861635220125,99.42138364779873,-0.3803795146075127,0.5698395236943864
Maracon,5790,Lavaux-Oron,TRUE,progression,140,1,0.007142857142857143,255,29,0.11372549019607843,0.10658263305322128,15.92156862745098,15.92156862745098,28,13.07843137254902,14.92156862745098,1.6271950498202044,0.6019522144522145
Montpreveyres,5792,Lavaux-Oron,TRUE,progression,115,1,0.008695652173913044,234,13,0.05555555555555555,0.04685990338164251,6.388888888888888,6.388888888888888,12,6.611111111111111,5.388888888888888,1.59011241769742,0.5421209180469555
Oron,5805,Lavaux-Oron,TRUE,progression,1169,2,0.001710863986313088,1955,142,0.07263427109974424,0.07092340711343115,42.45473145780051,84.90946291560101,140,57.090537084398974,82.90946291560101,1.5091333497073334,0.5183668456013149
Paudex,5588,Lavaux-Oron,TRUE,progression,294,1,0.003401360544217687,386,28,0.07253886010362694,0.06913749955940925,21.32642487046632,21.32642487046632,27,6.6735751295336785,20.32642487046632,0.8151033373724714,0.5360168089912973
Puidoux,5607,Lavaux-Oron,TRUE,progression,552,1,0.0018115942028985507,884,52,0.058823529411764705,0.05701193520886615,32.470588235294116,32.470588235294116,51,19.52941176470588,31.470588235294116,-0.04086059593576136,0.5299792625617665
Pully,5590,Lavaux-Oron,TRUE,progression,3788,8,0.0021119324181626186,6036,340,0.05632869449966865,0.05421676208150603,26.67163684559311,213.37309476474485,332,126.62690523525514,205.37309476474485,1.8035301499160132,0.5760614400905401
Rivaz,5609,Lavaux-Oron,TRUE,progression,107,1,0.009345794392523364,164,15,0.09146341463414634,0.08211762024162297,9.786585365853659,9.786585365853659,14,5.213414634146341,8.786585365853659,1.5788402239324624,0.6349513655069211
Saint-Saphorin (Lavaux),5610,Lavaux-Oron,TRUE,progression,105,1,0.009523809523809525,188,30,0.1595744680851064,0.15005065856129687,16.75531914893617,16.75531914893617,29,13.24468085106383,15.755319148936172,3.5811005185861715,0.6157468320459791
