Communes,code_ofs,district_electoral,dim1,dim1_acp,dim2_acp,dim3_acp,effectif,liste_eag_2022,part_eag_2022,part_gauche_2022,part_ps_verts,raboud_voix,part_raboud_2026,tendance_raboud,particip_moy,part_eag_cc,ecart,levier,part_manquante,voix_quorum,voix_siege,statut_district,marge_ecart,marge_raboud,marge_reservoir,marge_progression,source_marge,potentiel_commune,potentiel_district,score_district,score_priorite,score_marge,part_score_district,voix_a_trouver,voix_quorum_commune,profil,cluster,type_electorat,message_cle
Lucens,5675,Broye-Vully,1.3323053055807024,1.3323053055807024,-1.641647878967577,0.25009324619241,574,FALSE,0,0.42857142857142855,0.42857142857142855,49,0.05493273542600897,0.05493273542600897,0.4546020591291871,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.05493273542600897,0.04285714285714286,0.05493273542600897,raboud_2026,31.531390134529147,378.47248309332974,0.8281673590663671,0.06899647731844452,0.12020292215756885,0.08331223944424418,39,31,mobilisation,5,2. Gauche marquée abstentionniste,Électorat acquis qui ne se déplace pas — priorité absolue au « faire voter »
Missy,5821,Broye-Vully,-0.5890053831392984,-0.5890053831392984,0.5902013463553147,0.4181950558032742,92,FALSE,0,0.2608695652173913,0.2608695652173913,12,0.08108108108108109,0.08108108108108109,0.5109124141334543,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.08108108108108109,0.026086956521739132,0.08108108108108109,raboud_2026,7.45945945945946,378.47248309332974,0.8281673590663671,0.01632266840144302,0.17742030871133715,0.019709383885697148,10,8,persuasion,2,3. Centre mobilisé,Commune disputée où EàG perce déjà — porte-à-porte et présence publique
Moudon,5678,Broye-Vully,1.0510668325551091,1.0510668325551091,-1.021065991034443,-0.08643299357013519,647,FALSE,0,0.4420401854714065,0.4420401854714065,83,0.0747074707470747,0.0747074707470747,0.3009569818394779,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.0747074707470747,0.04420401854714065,0.0747074707470747,raboud_2026,48.33573357335734,378.47248309332974,0.8281673590663671,0.10576746952594603,0.16347367778353325,0.127712675907902,59,48,mobilisation,5,2. Gauche marquée abstentionniste,Électorat acquis qui ne se déplace pas — priorité absolue au « faire voter »
Payerne,5822,Broye-Vully,-1.7755952235528554,-1.7755952235528554,-1.1060227418451878,-0.09921056412001192,1412,FALSE,0,0.2847025495750708,0.2847025495750708,89,0.04038112522686026,0.04038112522686026,0.43595439499638117,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.04038112522686026,0.02847025495750708,0.04038112522686026,raboud_2026,57.01814882032668,378.47248309332974,0.8281673590663671,0.12476618997883299,0.08836132434761543,0.15065335359206614,69,56,implantation,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Prévonloup,5683,Broye-Vully,-3.2137146534295478,-3.2137146534295478,0.2904712919695896,-0.21336920405274162,55,FALSE,0,0.32727272727272727,0.32727272727272727,3,0.0375,0.0375,0.4548605686276992,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.0375,0.03272727272727273,0.0375,raboud_2026,2.0625,378.47248309332974,0.8281673590663671,0.0045131291028446385,0.08205689277899343,0.005449537528178491,3,3,report_gauche,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Ropraz,5798,Broye-Vully,-1.2428359344402384,-1.2428359344402384,-0.5501146615039144,-0.8438633927493122,110,FALSE,0,0.2,0.2,16,0.08290155440414508,0.08290155440414508,0.5516557443868423,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.08290155440414508,0.020000000000000004,0.08290155440414508,raboud_2026,9.119170984455959,378.47248309332974,0.8281673590663671,0.019954422285461616,0.18140383895874196,0.024094673699718374,12,9,persuasion,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Rossenges,5684,Broye-Vully,-2.5058661294552147,-2.5058661294552147,-0.608831095356244,3.103653924632363,23,FALSE,0,0.13043478260869565,0.13043478260869565,0,0,0,0.5276367948781742,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0,0.013043478260869566,0.013043478260869566,reservoir_ps_verts,0.30000000000000004,378.47248309332974,0.8281673590663671,6.564551422319476e-4,0.028541527923128154,7.926600040986897e-4,1,1,implantation,3,4. Centre,"Commune disputée, réservoir réel — thèmes sociaux concrets, pas d'étiquette"
Syens,5688,Broye-Vully,-1.1666171111827057,-1.1666171111827057,-1.401261398265326,2.810467089909029,33,FALSE,0,0.3333333333333333,0.3333333333333333,1,0.024390243902439025,0.024390243902439025,0.4523678568622389,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.024390243902439025,0.03333333333333333,0.03333333333333333,reservoir_ps_verts,1.1,378.47248309332974,0.8281673590663671,0.0024070021881838076,0.07293946024799416,0.002906420015028529,2,2,report_gauche,3,4. Centre,"Commune disputée, réservoir réel — thèmes sociaux concrets, pas d'étiquette"
Trey,5827,Broye-Vully,-3.160094993067322,-3.160094993067322,-1.2059806918463465,0.06680302793247034,92,FALSE,0,0.2717391304347826,0.2717391304347826,6,0.05660377358490566,0.05660377358490566,0.5008162580963978,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.05660377358490566,0.02717391304347826,0.05660377358490566,raboud_2026,5.2075471698113205,378.47248309332974,0.8281673590663671,0.01139507039346022,0.12385946079848065,0.013759381203222537,7,6,persuasion,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Treytorrens (Payerne),5828,Broye-Vully,-5.826046634231328,-5.826046634231328,0.005908179081541492,-2.477378583317801,36,FALSE,0,0.05555555555555555,0.05555555555555555,2,0.03508771929824561,0.03508771929824561,0.5839887096168784,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.03508771929824561,0.005555555555555556,0.03508771929824561,raboud_2026,1.263157894736842,378.47248309332974,0.8281673590663671,0.0027640216515029364,0.0767783792084149,0.0033375158067313246,2,2,implantation,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
