votation,date,positionnement_politique_oui,district,Communes,code_ofs,Electeurs_inscrits,Bulletins_rentres,Blancs,Nuls,Valables,OUI,OUI_perc,NON,NON_perc,particip_perc
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Fiez,5556,,122,0,0,122,22,18.0327868852459,100,81.9672131147541,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Fiez,5556,,122,0,0,122,10,8.19672131147541,112,91.80327868852459,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Fiez,5556,,122,0,0,122,17,13.934426229508196,105,86.0655737704918,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Fiez,5556,,122,0,0,122,35,28.688524590163933,87,71.31147540983606,
gc_2022_centre,20.03.22,centre,Yverdon,Fiez,5556,,122,0,0,122,11,9.01639344262295,111,90.98360655737704,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Fiez,5556,,122,0,0,122,26,21.311475409836063,96,78.68852459016394,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Fontaines-sur-Grandson,5557,,47,0,0,47,11,23.404255319148938,36,76.59574468085107,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Fontaines-sur-Grandson,5557,,47,0,0,47,2,4.25531914893617,45,95.74468085106383,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Fontaines-sur-Grandson,5557,,47,0,0,47,13,27.659574468085108,34,72.3404255319149,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Fontaines-sur-Grandson,5557,,47,0,0,47,12,25.53191489361702,35,74.46808510638297,
gc_2022_centre,20.03.22,centre,Yverdon,Fontaines-sur-Grandson,5557,,47,0,0,47,2,4.25531914893617,45,95.74468085106383,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Fontaines-sur-Grandson,5557,,47,0,0,47,8,17.02127659574468,39,82.97872340425532,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Giez,5559,,109,0,0,109,23,21.100917431192663,86,78.89908256880734,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Giez,5559,,109,0,0,109,6,5.5045871559633035,103,94.4954128440367,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Giez,5559,,109,0,0,109,17,15.59633027522936,92,84.40366972477065,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Giez,5559,,109,0,0,109,33,30.275229357798167,76,69.72477064220183,
gc_2022_centre,20.03.22,centre,Yverdon,Giez,5559,,109,0,0,109,10,9.174311926605505,99,90.82568807339449,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Giez,5559,,109,0,0,109,20,18.34862385321101,89,81.65137614678899,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Grandevent,5560,,61,0,0,61,11,18.0327868852459,50,81.9672131147541,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Grandevent,5560,,61,0,0,61,1,1.639344262295082,60,98.36065573770492,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Grandevent,5560,,61,0,0,61,17,27.86885245901639,44,72.1311475409836,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Grandevent,5560,,61,0,0,61,13,21.311475409836063,48,78.68852459016394,
gc_2022_centre,20.03.22,centre,Yverdon,Grandevent,5560,,61,0,0,61,7,11.475409836065573,54,88.52459016393442,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Grandevent,5560,,61,0,0,61,12,19.672131147540984,49,80.32786885245902,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Grandson,5561,,733,0,0,733,137,18.69031377899045,596,81.30968622100954,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Grandson,5561,,733,0,0,733,51,6.957708049113233,682,93.04229195088676,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Grandson,5561,,733,0,0,733,73,9.959072305593452,660,90.04092769440655,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Grandson,5561,,733,0,0,733,300,40.92769440654843,433,59.07230559345157,
gc_2022_centre,20.03.22,centre,Yverdon,Grandson,5561,,733,0,0,733,61,8.321964529331515,672,91.67803547066849,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Grandson,5561,,733,0,0,733,111,15.143246930422919,622,84.85675306957708,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Mauborget,5562,,49,0,0,49,6,12.244897959183673,43,87.75510204081633,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Mauborget,5562,,49,0,0,49,4,8.16326530612245,45,91.83673469387756,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Mauborget,5562,,49,0,0,49,17,34.69387755102041,32,65.3061224489796,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Mauborget,5562,,49,0,0,49,10,20.408163265306122,39,79.59183673469387,
gc_2022_centre,20.03.22,centre,Yverdon,Mauborget,5562,,49,0,0,49,1,2.0408163265306123,48,97.95918367346938,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Mauborget,5562,,49,0,0,49,11,22.448979591836736,38,77.55102040816327,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Mutrux,5563,,40,0,0,40,7,17.5,33,82.5,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Mutrux,5563,,40,0,0,40,2,5,38,95,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Mutrux,5563,,40,0,0,40,13,32.5,27,67.5,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Mutrux,5563,,40,0,0,40,10,25,30,75,
gc_2022_centre,20.03.22,centre,Yverdon,Mutrux,5563,,40,0,0,40,1,2.5,39,97.5,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Mutrux,5563,,40,0,0,40,7,17.5,33,82.5,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Novalles,5564,,33,0,0,33,4,12.121212121212121,29,87.87878787878788,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Novalles,5564,,33,0,0,33,0,0,33,100,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Novalles,5564,,33,0,0,33,12,36.36363636363637,21,63.63636363636363,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Novalles,5564,,33,0,0,33,11,33.33333333333333,22,66.66666666666666,
gc_2022_centre,20.03.22,centre,Yverdon,Novalles,5564,,33,0,0,33,1,3.0303030303030303,32,96.96969696969697,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Novalles,5564,,33,0,0,33,5,15.151515151515152,28,84.84848484848484,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Onnens VD,5565,,110,0,0,110,27,24.545454545454547,83,75.45454545454545,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Onnens VD,5565,,110,0,0,110,3,2.727272727272727,107,97.27272727272728,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Onnens VD,5565,,110,0,0,110,16,14.545454545454545,94,85.45454545454545,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Onnens VD,5565,,110,0,0,110,33,30,77,70,
gc_2022_centre,20.03.22,centre,Yverdon,Onnens VD,5565,,110,0,0,110,12,10.909090909090908,98,89.0909090909091,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Onnens VD,5565,,110,0,0,110,19,17.272727272727273,91,82.72727272727273,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Provence,5566,,92,0,0,92,14,15.217391304347828,78,84.78260869565217,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Provence,5566,,92,0,0,92,4,4.3478260869565215,88,95.65217391304348,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Provence,5566,,92,0,0,92,39,42.391304347826086,53,57.608695652173914,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Provence,5566,,92,0,0,92,20,21.73913043478261,72,78.26086956521739,
gc_2022_centre,20.03.22,centre,Yverdon,Provence,5566,,92,0,0,92,4,4.3478260869565215,88,95.65217391304348,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Provence,5566,,92,0,0,92,11,11.956521739130435,81,88.04347826086956,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Sainte-Croix,5568,,1053,0,0,1053,317,30.10446343779677,736,69.89553656220323,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Sainte-Croix,5568,,1053,0,0,1053,64,6.077872744539412,989,93.92212725546058,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Sainte-Croix,5568,,1053,0,0,1053,268,25.451092117758783,785,74.54890788224121,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Sainte-Croix,5568,,1053,0,0,1053,260,24.691358024691358,793,75.30864197530865,
gc_2022_centre,20.03.22,centre,Yverdon,Sainte-Croix,5568,,1053,0,0,1053,46,4.368471035137702,1007,95.6315289648623,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Sainte-Croix,5568,,1053,0,0,1053,98,9.306742640075974,955,90.69325735992403,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Tévenon,5571,,179,0,0,179,35,19.553072625698324,144,80.44692737430168,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Tévenon,5571,,179,0,0,179,17,9.497206703910614,162,90.5027932960894,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Tévenon,5571,,179,0,0,179,44,24.581005586592177,135,75.41899441340783,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Tévenon,5571,,179,0,0,179,37,20.670391061452513,142,79.3296089385475,
gc_2022_centre,20.03.22,centre,Yverdon,Tévenon,5571,,179,0,0,179,15,8.379888268156424,164,91.62011173184358,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Tévenon,5571,,179,0,0,179,32,17.877094972067038,147,82.12290502793296,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,L'Abergement,5741,,88,0,0,88,17,19.318181818181817,71,80.68181818181817,
gc_2022_Gauche,20.03.22,gauche,Yverdon,L'Abergement,5741,,88,0,0,88,8,9.090909090909092,80,90.9090909090909,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,L'Abergement,5741,,88,0,0,88,22,25,66,75,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,L'Abergement,5741,,88,0,0,88,24,27.27272727272727,64,72.72727272727273,
gc_2022_centre,20.03.22,centre,Yverdon,L'Abergement,5741,,88,0,0,88,7,7.954545454545454,81,92.04545454545455,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,L'Abergement,5741,,88,0,0,88,10,11.363636363636363,78,88.63636363636364,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Agiez,5742,,72,0,0,72,9,12.5,63,87.5,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Agiez,5742,,72,0,0,72,6,8.333333333333332,66,91.66666666666666,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Agiez,5742,,72,0,0,72,19,26.38888888888889,53,73.61111111111111,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Agiez,5742,,72,0,0,72,32,44.44444444444444,40,55.55555555555556,
gc_2022_centre,20.03.22,centre,Yverdon,Agiez,5742,,72,0,0,72,3,4.166666666666666,69,95.83333333333334,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Agiez,5742,,72,0,0,72,3,4.166666666666666,69,95.83333333333334,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Arnex-sur-Orbe,5743,,182,0,0,182,27,14.835164835164836,155,85.16483516483517,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Arnex-sur-Orbe,5743,,182,0,0,182,14,7.6923076923076925,168,92.3076923076923,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Arnex-sur-Orbe,5743,,182,0,0,182,36,19.78021978021978,146,80.21978021978022,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Arnex-sur-Orbe,5743,,182,0,0,182,62,34.065934065934066,120,65.93406593406593,
gc_2022_centre,20.03.22,centre,Yverdon,Arnex-sur-Orbe,5743,,182,0,0,182,13,7.142857142857142,169,92.85714285714286,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Arnex-sur-Orbe,5743,,182,0,0,182,30,16.483516483516482,152,83.51648351648352,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Ballaigues,5744,,237,0,0,237,46,19.40928270042194,191,80.59071729957806,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Ballaigues,5744,,237,0,0,237,17,7.172995780590717,220,92.82700421940928,
