Code;Libellé;Potentiel de consommation équivalent: P40 2022;Taux d'aide sociale 2025;Potentiel de consommation équivalent: P20 2022;Potentiel de consommation équivalent: P60 2022;Potentiel de consommation équivalent: P80 2022;Potentiel de consommation équivalent: médiane 2022;Emplois EPT, tous secteurs 2023;Emplois EPT dans le secteur primaire 2023;Emplois EPT dans le secteur secondaire 2023;Emplois EPT dans le secteur tertiaire 2023
5702;Arzier-Le Muids;82200;0.57;58700;109900;156500;95500;286;18;35;234
5703;Bassins;74400;0.5;54700;94100;126400;82400;168;39;36;93
5704;Begnins;67200;1.02;49200;94100;141400;79000;289;42;21;226
5705;Bogis-Bossey;85800;0.34;59400;109700;144000;99900;70;8;N/A - secret statistique;61
5706;Borex;76700;0.62;51100;104800;155700;90200;91;15;8;68
5707;Chavannes-de-Bogis;84500;0.44;61700;107700;143700;95500;845;10;68;766
5708;Chavannes-des-Bois;96300;0.07;71600;127300;166000;107500;55;N/A - secret statistique;5;48
5709;Chéserex;82600;0.16;57700;108000;174900;93300;173;10;23;139
5710;Coinsins;75900;0.9;52600;102700;135800;92700;196;17;71;108
5711;Commugny;99700;0.68;69000;139300;211600;120000;205;14;14;178
5712;Coppet;103100;0.4;65400;139400;220300;118800;726;N/A - secret statistique;47;677
5713;Crans;94600;0.53;64300;128500;202200;108700;227;13;27;187
5714;Crassier;72800;0.5;51900;101800;136100;87800;333;14;134;185
5715;Duillier;77000;0.42;56900;100000;139900;87100;286;18;93;175
5716;Eysins;74100;0.92;53600;95300;130600;84900;1749;19;330;1400
5717;Founex;92800;0.36;59600;126300;194700;108600;747;59;85;602
5718;Genolier;93800;0.82;64800;124800;180400;106400;886;10;109;768
5719;Gingins;76400;0.4;56700;103500;152700;87600;282;18;130;134
5720;Givrins;81500;0.56;59900;113200;178100;93800;141;35;32;73
5721;Gland;57400;1.64;43500;74100;102100;65300;6577;61;1030;5486
5722;Grens;80800;1.31;64000;103600;146200;97100;331;22;281;29
5723;Mies;88600;0.32;59000;136400;247000;108300;685;N/A - secret statistique;35;647
5724;Nyon;58000;1.7;41300;78800;118000;67700;14858;38;2092;12729
5725;Prangins;73300;0.98;51200;98600;145300;84800;1809;13;943;853
5726;La Rippe;81800;0.42;57800;105400;137800;92600;191;19;54;118
5727;Saint-Cergue;58700;2.69;41800;78800;105300;68700;333;10;82;241
5728;Signy-Avenex;76900;0.57;60600;106900;146400;88300;596;31;33;532
5729;Tannay;108600;0.5;67200;155200;225400;129100;118;8;11;99
5730;Trélex;92400;0.32;58800;134400;205100;109100;175;22;30;124
5731;Le Vaud;72700;1.09;53400;92400;120000;81600;188;14;45;129
5732;Vich;75300;0.66;53900;97000;134300;85900;467;20;100;348
5741;L'Abergement;54000;1.76;41600;77600;105800;64300;26;15;5;6
